cycle,strain,energy_eV,sigma_cell_zz_GPa,wire_stress_current_GPa,wire_stress_ref_GPa,wire_area_ref_ellipse_A2,wire_area_current_ellipse_A2,wire_area_current_bbox_A2,cell_area_xy_A2,wire_span_x_A,wire_span_y_A,n_atoms
0,0.000000000000,-28536.644625219396,0.057287907583,0.164934694155,0.164934694155,1250.412888301214,1250.412888301214,1592.075136631618,3600.000000000000,39.547318801154,40.257473449380,514
1,0.010000000000,-28536.104615477107,0.677919974181,1.952093851353,1.951764836946,1250.412888301214,1250.202138262391,1591.806801348134,3600.000000000000,39.545770269605,40.252264414017,514
2,0.020100000000,-28534.553954417785,1.268533883111,3.654954426819,3.652171232338,1250.412888301214,1249.460717126620,1590.862794638768,3600.000000000000,39.537709900296,40.236594346271,514
3,0.030301000000,-28532.698422584948,1.640285533627,4.788257102843,4.722462457245,1250.412888301214,1233.231172476658,1570.198696597390,3600.000000000000,39.306951356798,39.947099492513,514
4,0.040604010000,-28529.484836984120,2.216075412336,6.469977563791,6.380189742964,1250.412888301214,1233.060146770360,1569.980939904966,3600.000000000000,39.305204924517,39.943334296820,514
5,0.051010050100,-28525.571594528679,2.700139593807,7.914500464967,7.773834249990,1250.412888301214,1228.189015937529,1563.778823501026,3600.000000000000,39.231584781127,39.860200199032,514
6,0.061520150601,-28520.587007075359,3.228904184570,9.469580682924,9.296173426558,1250.412888301214,1227.515288550389,1562.921007149349,3600.000000000000,39.222975901654,39.847078688475,514
7,0.072135352107,-28515.385454076364,3.574149796377,10.614335510538,10.290152466708,1250.412888301214,1212.222776845708,1543.449976508623,3600.000000000000,38.953717038789,39.622662324412,514
8,0.082856705628,-28508.956352856130,4.022477788911,11.986644597585,11.580910734017,1250.412888301214,1208.087878320729,1538.185260193154,3600.000000000000,38.897185439319,39.544898758620,514
9,0.093685272684,-28501.587292044729,4.502451335185,13.429327205366,12.962778101790,1250.412888301214,1206.972215271548,1536.764753880337,3600.000000000000,38.883354791499,39.522432210924,514
10,0.104622125411,-28493.439427663066,4.919883680461,14.713946246400,14.164586286152,1250.412888301214,1203.727467333443,1532.633412492843,3600.000000000000,38.838590809075,39.461612292450,514
11,0.115668346665,-28484.426275160014,5.349763610191,16.019251686078,15.402231676333,1250.412888301214,1202.250228294112,1530.752533330941,3600.000000000000,38.818363629122,39.433721316953,514
12,0.126825030132,-28475.552995429091,5.545935588121,16.792799164863,15.967020417040,1250.412888301214,1188.924366999551,1513.785519763049,3600.000000000000,38.629235461600,39.187560967078,514
13,0.138093280433,-28473.902401537438,4.533008839374,14.283770982154,13.050754654261,1250.412888301214,1142.473639638567,1454.642616805333,3600.000000000000,38.335006858198,37.945542104272,514
14,0.149474213238,-28473.135919411830,3.552675792207,11.534327632360,10.228327756058,1250.412888301214,1108.832110513446,1411.808891577870,3600.000000000000,37.851425252109,37.298698323103,514
15,0.160968955370,-28470.177793177198,3.067341086512,10.122899554215,8.831025347510,1250.412888301214,1090.836459682566,1388.896117306747,3600.000000000000,37.712734654212,36.828305611925,514
16,0.172578644924,-28465.506549101850,2.885236513859,9.655165342345,8.306737356172,1250.412888301214,1075.781830926969,1369.727968643814,3600.000000000000,37.451823778849,36.573064551729,514
17,0.184304431373,-28460.419870787769,2.901255374380,9.772944959918,8.352856440849,1250.412888301214,1068.717709002122,1360.733649260268,3600.000000000000,37.340850465568,36.440885311785,514
18,0.196147475687,-28455.755685177755,2.754104871042,9.396855647661,7.929202928500,1250.412888301214,1055.116509980581,1343.416064810229,3600.000000000000,37.126661411972,36.184671977454,514
19,0.208108950444,-28451.358348952625,2.485196218432,8.615152469646,7.155001735876,1250.412888301214,1038.484973757371,1322.240135201143,3600.000000000000,36.844545540495,35.886998083554,514
20,0.220190039948,-28447.094183469824,2.318649006351,8.106542533711,6.675504148236,1250.412888301214,1029.678976968378,1311.027991858585,3600.000000000000,36.665903444374,35.756053136602,514
