cycle,strain,energy_eV,sigma_cell_zz_GPa,wire_stress_current_GPa,wire_stress_ref_GPa,wire_area_ref_ellipse_A2,wire_area_current_ellipse_A2,wire_area_current_bbox_A2,cell_area_xy_A2,wire_span_x_A,wire_span_y_A,n_atoms
0,0.000000000000,-6699.751420023685,-0.052178424730,-0.323170848764,-0.323170848764,258.332333770605,258.332333770605,328.918943040457,1600.000000000000,17.746678041902,18.534113385268,121
1,0.010000000000,-6699.666370977562,0.288110221445,1.785151229807,1.784431501796,258.332333770605,258.228180680503,328.786331207432,1600.000000000000,17.743774942535,18.529672083434,121
2,0.020100000000,-6699.341790636488,0.625390913485,3.877515945585,3.873403870782,258.332333770605,258.058374386477,328.570127118935,1600.000000000000,17.738850634014,18.522627756327,121
3,0.030301000000,-6698.956555561123,0.826964268157,5.194588516766,5.121863027129,258.332333770605,254.715618914019,324.313998663021,1600.000000000000,17.635328035214,18.390017923989,121
4,0.040604010000,-6698.232773971142,1.150057185192,7.225983297655,7.122962385118,258.332333770605,254.649287233335,324.229542544105,1600.000000000000,17.633410028420,18.387228676787,121
5,0.051010050100,-6697.284240262712,1.452132321228,9.129122380359,8.993886595815,258.332333770605,254.505484444354,324.046447146532,1600.000000000000,17.629016315776,18.381425335487,121
6,0.061520150601,-6696.239041436042,1.667257846441,10.586348639259,10.326282100923,258.332333770605,251.986085590655,320.838648897042,1600.000000000000,17.549575960220,18.281846218068,121
7,0.072135352107,-6694.879477149682,1.957847986592,12.435010556780,12.126073158648,258.332333770605,251.914283807218,320.747228026987,1600.000000000000,17.547414631827,18.278888073074,121
8,0.082856705628,-6693.302510474677,2.231042079294,14.178762598700,13.818120537867,258.332333770605,251.761555496947,320.552768302749,1600.000000000000,17.542745803203,18.272667910643,121
9,0.093685272684,-6691.689884042875,2.383600063303,15.381410024199,14.762999449658,258.332333770605,247.946065756278,315.694735882398,1600.000000000000,17.432634175579,18.109410930256,121
10,0.104622125411,-6689.744958389228,2.640971322578,17.044918550752,16.357046965238,258.332333770605,247.906970252953,315.644957941543,1600.000000000000,17.431273680564,18.107968684669,121
11,0.115668346665,-6687.594210426556,2.885933191955,18.631356143221,17.874236026641,258.332333770605,247.834514655488,315.552704609614,1600.000000000000,17.428933052705,18.105107389844,121
12,0.126825030132,-6685.240371017811,3.112771478760,20.105653878975,19.279175368111,258.332333770605,247.713125670835,315.398147354058,1600.000000000000,17.425050353978,18.100271789576,121
13,0.138093280433,-6684.071992455712,2.253160988758,14.956573669947,13.955115603973,258.332333770605,241.034989802308,306.895280681135,1600.000000000000,17.389124437540,17.648690811517,121
14,0.149474213238,-6682.454226565877,2.028308778712,13.690405738723,12.562477172605,258.332333770605,237.048784957455,301.819887039254,1600.000000000000,17.293099670524,17.453197679402,121
15,0.160968955370,-6680.945073057765,1.894200307579,12.956039522056,11.731866653663,258.332333770605,233.923375038093,297.840491536415,1600.000000000000,17.195117365418,17.321224694600,121
16,0.172578644924,-6679.614378556764,1.644012655557,11.416770482903,10.182311329358,258.332333770605,230.399678510754,293.353981774160,1600.000000000000,17.128184285267,17.126974867178,121
17,0.184304431373,-6678.379473641028,1.461159507482,10.286775553935,9.049797127013,258.332333770605,227.268029686684,289.366642651131,1600.000000000000,17.016868653665,17.004693903470,121
18,0.196147475687,-6677.076055111530,1.642315186660,11.566522334053,10.171797932928,258.332333770605,227.181880842435,289.256954535900,1600.000000000000,17.013128312895,17.001985126784,121
19,0.208108950444,-6676.309065717112,1.161047582903,8.332153594238,7.191032208512,258.332333770605,222.952699039216,283.872193022167,1600.000000000000,16.888108631079,16.808998522177,121
20,0.220190039948,-6675.456023572890,0.961121805651,6.983091437690,5.952777442129,258.332333770605,220.216920079579,280.388891065103,1600.000000000000,16.803089102443,16.686746666381,121
