cycle,strain,energy_eV,sigma_cell_zz_GPa,grip_force_top_z_eVA,grip_force_bottom_z_eVA,grip_stress_top_GPa,grip_stress_bottom_GPa,grip_stress_avg_GPa,wire_area_ref_ellipse_A2,wire_area_current_ellipse_A2,cell_area_xy_A2,wire_span_x_A,wire_span_y_A,grip_distance_A,n_atoms,area_current_used_A2,area_ref_used_A2,area_ratio_Aref_over_Acurrent,area_current_source,area_ref_source,grip_nominal_top_GPa,grip_nominal_bottom_GPa,grip_nominal_raw_GPa,grip_apparent_cauchy_top_GPa,grip_apparent_cauchy_bottom_GPa,grip_apparent_cauchy_raw_GPa,grip_nominal_primary_GPa,grip_apparent_cauchy_primary_GPa,grip_top_bottom_balance_rel,grip_top_bottom_balance_signed_GPa,diagnostic_cell_cauchy_wire_current_GPa,diagnostic_cell_nominal_wire_ref_GPa,stress_definition_note
0,0.0,-191807.9131490956,-228.125064822864,67.855270950613,-70.06209883542,-3.86130376505,-3.986883291902,-3.924093528476,2815.529037087395,2815.529037087394,6400.0,59.671286034256,60.076514980954,16.629235179265,3476,2815.529037087394,2815.529037087395,1.0000000000000002,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,-3.861303765049643,-3.9868832919020787,-3.924093528475861,-3.8613037650496445,-3.98688329190208,-3.9240935284758622,0.0,0.0,0.03200217475479269,0.12557952685243556,-518.5527819584022,-518.5527819584021,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
1,0.01,-191816.0994053319,-0.395185690374,23.87123960724,-24.19119710014,-1.358392739142,-1.376599918256,-1.367496328699,2815.529037087395,2814.417206175833,6400.0,59.659688737945,60.064464935886,16.795527531058,3476,2814.417206175833,2815.529037087395,1.0003950483635198,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,-1.3583927391421797,-1.3765999182556463,-1.367496328698913,-1.358929369970795,-1.3771437418005745,-1.3680365558856846,2.556597199776948,2.5560569725901776,0.013314243505713523,0.018207179113466587,-0.8986544044868899,-0.8982995327265357,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
2,0.0201,-191817.3778266604,-0.013132111499,-13.370056040637,13.600572046122,0.760822954582,0.773940466419,0.767381710501,2815.529037087395,2812.340348485232,6400.0,59.635764343578,60.044219846262,16.963482806368,3476,2812.340348485232,2815.529037087395,1.0011338203087263,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,0.7608229545824249,0.7739404664192174,0.7673817105008212,0.7616855910996756,0.7748179758377887,0.7682517834687321,4.6914752389766825,4.692345311944594,0.017093855192654495,-0.01311751183679255,-0.029884545673452414,-0.02985070034317362,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
3,0.030301,-191812.1415515628,0.327217607708,-47.842744247115,48.440896510034,2.722491059333,2.756528910079,2.739509984706,2815.529037087395,2809.667437216447,6400.0,59.607950141387,60.015143619825,17.133117634432,3476,2809.667437216447,2815.529037087395,1.0020862255060174,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,2.7224910593334446,2.7565289100784973,2.739509984705971,2.7281707896213305,2.762279650998778,2.7452252203100542,6.663603513181831,6.6693187487859165,0.012424795286411768,-0.03403785074505272,0.7453525145331535,0.7438007783779059,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
4,0.04060401,-191800.60616330756,0.671255594736,-84.688771517061,84.730530744716,4.819214008507,4.821590317093,4.8204021628,2815.529037087395,2806.249818270083,6400.0,59.569608815938,59.980723594602,17.304448810776,3476,2806.249818270083,2815.529037087395,1.0033066260733097,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,4.819214008507359,4.821590317093426,4.820402162800392,4.835149347200748,4.837533513350744,4.836341430275746,8.744495691276253,8.760434958751608,0.0004929689486087088,-0.0023763085860668554,1.5308814555073,1.5258360861213345,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
5,0.0510100501,-191782.19708552017,-3.402136347974,-116.621197357121,117.072183009822,6.636328499335,6.661991835055,6.649160167195,2815.529037087395,2805.940468822683,6400.0,59.566774386292,59.976965378537,17.477493298884,3476,2805.940468822683,2815.529037087395,1.0034172386660558,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,6.636328499334962,6.661991835054676,6.649160167194818,6.659006417683537,6.684757451146372,6.671881934414955,10.57325369567068,10.595975462890816,0.003859635664415195,-0.02566333571971402,-7.759848389146118,-7.733421442372338,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
6,0.061520150601,-191757.854690022,-11.829172738607,-149.450441336168,150.27167395174,8.5044764207,8.551208657504,8.527842539102,2815.529037087395,2805.354352836393,6400.0,59.56142714635,59.969820572795,17.652268231873,3476,2805.354352836393,2815.529037087395,1.0036268802337625,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,8.504476420699682,8.551208657504066,8.527842539101874,8.535321138128417,8.582222867158746,8.558772002643583,12.451936067577735,12.482865531119444,0.005479960094256881,-0.04673223680438454,-26.98650366594169,-26.88898055386485,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
7,0.072135352107,-191729.3275264768,1.625676416139,-184.489139443228,185.757820635997,10.49835331527,10.570547610535,10.534450462902,2815.529037087395,2799.20567126144,6400.0,59.506648199858,59.893465054977,17.828790914192,3476,2799.20567126144,2815.529037087395,1.0058314278202356,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,10.498353315269892,10.570547610534769,10.534450462902331,10.55957370485922,10.632188995945965,10.595881350402593,14.458543991378193,14.519974878878454,0.006853161967879902,-0.07219429526487708,3.716886247447824,3.6953371555537777,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
8,0.082856705628,-191693.35837033528,1.94009733306,-212.80419795826,213.810820088946,12.109621541305,12.166903367296,12.1382624543,2815.529037087395,2798.883567074087,6400.0,59.504335683705,59.888900493751,18.007078823334,3476,2798.883567074087,2815.529037087395,1.0059471820154022,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,12.109621541304532,12.166903367296047,12.138262454300289,12.181639664748309,12.23926215618517,12.21045091046674,16.06235598277615,16.1345444389426,0.004719112493009354,-0.05728182599151488,4.436277049053584,4.4100496809042795,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
9,0.093685272684,-191653.04615787856,2.218032011846,-238.346667070769,241.233945457604,13.563115584893,13.727416143267,13.64526586408,2815.529037087395,2794.800673452323,6400.0,59.466193624394,59.839894235844,18.187149611567,3476,2794.800673452323,2815.529037087395,1.0074167592100467,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,13.563115584892966,13.727416143267373,13.64526586408017,13.663709947324149,13.829229083378095,13.746469515351123,17.56935939255603,17.670563043826984,0.012040846987592394,-0.16430055837440705,5.0792190694155295,5.041825066915043,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
