cycle,strain,energy_eV,sigma_cell_zz_GPa,grip_force_top_z_eVA,grip_force_bottom_z_eVA,grip_stress_top_GPa,grip_stress_bottom_GPa,grip_stress_avg_GPa,wire_area_ref_ellipse_A2,wire_area_current_ellipse_A2,cell_area_xy_A2,wire_span_x_A,wire_span_y_A,grip_distance_A,n_atoms,area_current_used_A2,area_ref_used_A2,area_ratio_Aref_over_Acurrent,area_current_source,area_ref_source,grip_nominal_top_GPa,grip_nominal_bottom_GPa,grip_nominal_raw_GPa,grip_apparent_cauchy_top_GPa,grip_apparent_cauchy_bottom_GPa,grip_apparent_cauchy_raw_GPa,grip_nominal_primary_GPa,grip_apparent_cauchy_primary_GPa,grip_top_bottom_balance_rel,grip_top_bottom_balance_signed_GPa,diagnostic_cell_cauchy_wire_current_GPa,diagnostic_cell_nominal_wire_ref_GPa,stress_definition_note
0,0.0,-85136.84088366192,-0.162147852263,20.38683619779,-20.292005948585,-2.73612676212,-2.723399550296,-2.729763156208,1193.779205714362,1193.779205714362,3600.0,38.681518257606,39.29439589924,16.639289912149,1541,1193.779205714362,1193.779205714362,1.0,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,-2.7361267621203416,-2.723399550296446,-2.729763156208394,-2.7361267621203416,-2.723399550296446,-2.729763156208394,0.0,0.0,0.00466238684295733,-0.01272721182389569,-0.4889784185824315,-0.4889784185824315,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
1,0.01,-85138.1508978889,0.158915607669,-3.831498482793,3.940444383635,0.514227192296,0.528848872287,0.521538032292,1193.779205714362,1193.421722482718,3600.0,38.677587751822,39.286620984768,16.80568281127,1541,1193.421722482718,1193.779205714362,1.0002995447668745,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,0.5142271922962649,0.5288488722874652,0.521538032291865,0.5143812263607018,0.5290072861996263,0.5216942562801641,3.2513011885002587,3.2514574124885582,0.028035692674120656,-0.014621679991200343,0.47937470621721867,0.47923115503260544,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
2,0.0201,-85136.56038442424,0.423787214495,-21.183067663892,21.191100258739,2.842989357283,2.844067415571,2.843528386427,1193.779205714362,1191.890734495333,3600.0,38.656702618083,39.257420146668,16.973739639383,1541,1191.890734495333,1193.779205714362,1.0015844331735901,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,2.8429893572826144,2.844067415570664,2.843528386426639,2.847493883932456,2.8485736503318204,2.8480337671321383,5.573291542635033,5.577796923340532,0.00037912696535602025,-0.0010780582880496326,1.2800116051141044,1.2779867205586437,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
3,0.030301,-85131.9779983567,0.698042799687,-33.583198566584,33.571529061004,4.507216689444,4.505650519676,4.50643360456,1193.779205714362,1191.616296575088,3600.0,38.653119711625,39.252019041919,17.143477035777,1541,1191.616296575088,1193.779205714362,1.0018151053703197,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,4.5072166894436,4.505650519675599,4.506433604559599,4.515397762661803,4.513828750130646,4.514613256396224,7.236196760767993,7.244376412604618,0.00034754085057778276,0.0015661697680009468,2.1088617922529815,2.1050409211722187,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
4,0.04060401,-85124.98317711694,0.94739975385,-47.774641244728,47.814530377513,6.411856807608,6.41721034666,6.414533577134,1193.779205714362,1189.110269233574,3600.0,38.620402568018,39.202652410792,17.314911806134,1541,1189.110269233574,1193.779205714362,1.0039264117059534,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,6.411856807608468,6.417210346660429,6.414533577134449,6.437032397234759,6.442406956485121,6.439719676859941,9.144296733342843,9.169482833068335,0.0008345952184340053,-0.005353539051960787,2.868227785181171,2.8570099877213564,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
5,0.0510100501,-85115.05232764642,1.162070995965,-65.377911706619,65.343455117185,8.774399918483,8.7697754836,8.772087701041,1193.779205714362,1188.657090251219,3600.0,38.614518955475,39.19368293006,17.488060924196,1541,1188.657090251219,1193.779205714362,1.0043091615783493,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,8.774399918483303,8.769775483599581,8.772087701041443,8.812210225485101,8.807565863164259,8.80988804432468,11.501850857249837,11.539651200533074,0.0005271760886718721,0.004624434883721662,3.5194806136981356,3.5043796754447607,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
6,0.061520150601,-85103.39401615027,1.420866171874,-78.349796736912,78.425245026917,10.515362637867,10.525488587938,10.520425612902,1193.779205714362,1179.229819974605,3600.0,38.469139203825,39.02977997941,17.662941533438,1541,1179.229819974605,1193.779205714362,1.012338040891868,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,10.515362637866923,10.525488587937648,10.520425612902287,10.645101612085744,10.655352496542514,10.65022705431413,13.25018876911068,13.379990210522523,0.0009625038418888869,-0.010125950070724699,4.337677127988974,4.284810955209673,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
7,0.072135352107,-85088.56681685576,1.667873705397,-91.439530373046,91.636865576201,12.272141873418,12.298626322757,12.285384098087,1193.779205714362,1177.290301514087,3600.0,38.44046629786,38.994650998923,17.839570948772,1541,1177.290301514087,1193.779205714362,1.0140058099341078,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,12.27214187341773,12.298626322756633,12.285384098087182,12.444023159981226,12.470878545483778,12.457450852732503,15.015147254295576,15.187214008940897,0.0021557689305803335,-0.02648444933890204,5.100139983916579,5.029695031281917,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
8,0.082856705628,-85071.09002036837,1.909165650845,-99.408629195097,99.576284733907,13.341678330446,13.364179458237,13.352928894342,1193.779205714362,1177.005639953057,3600.0,38.436763145829,38.988978324705,18.01796665826,1541,1177.005639953057,1193.779205714362,1.0142510496058235,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,13.341678330445777,13.364179458237516,13.352928894341646,13.5318112501579,13.554633042637985,13.543222146397943,16.08269205055004,16.272985302606337,0.0016851080365801335,-0.022501127791738185,5.839391171750135,5.757342991185018,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
9,0.093685272684,-85051.63211449678,2.132809484996,-116.55450276153,117.097355076641,15.642833991378,15.715690452913,15.679262222146,1193.779205714362,1174.333038515404,3600.0,38.395076446669,38.942682283851,18.198146324842,1541,1174.333038515404,1193.779205714362,1.0165593290499106,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,15.642833991378325,15.715690452912812,15.679262222145567,15.901868826714685,15.975931742369134,15.938900284541909,18.40902537835396,18.6686634407503,0.004646676642194528,-0.07285646153448688,6.538276531581109,6.431770723792251,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
