cycle,strain,energy_eV,sigma_cell_zz_GPa,grip_force_top_z_eVA,grip_force_bottom_z_eVA,grip_stress_top_GPa,grip_stress_bottom_GPa,grip_stress_avg_GPa,wire_area_ref_ellipse_A2,wire_area_current_ellipse_A2,cell_area_xy_A2,wire_span_x_A,wire_span_y_A,grip_distance_A,n_atoms,area_current_used_A2,area_ref_used_A2,area_ratio_Aref_over_Acurrent,area_current_source,area_ref_source,grip_nominal_top_GPa,grip_nominal_bottom_GPa,grip_nominal_raw_GPa,grip_apparent_cauchy_top_GPa,grip_apparent_cauchy_bottom_GPa,grip_apparent_cauchy_raw_GPa,grip_nominal_primary_GPa,grip_apparent_cauchy_primary_GPa,grip_top_bottom_balance_rel,grip_top_bottom_balance_signed_GPa,diagnostic_cell_cauchy_wire_current_GPa,diagnostic_cell_nominal_wire_ref_GPa,stress_definition_note
0,-0.0,-133323.73472730233,-0.397502176549,31.67086152298,-32.476151258387,-2.574398509157,-2.639857312441,-2.607127910799,1971.035708427436,1971.035708427436,4900.0,50.51999936235,49.675388751591,16.63513091822,2414,1971.035708427436,1971.035708427436,1.0,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,-2.5743985091572443,-2.639857312441366,-2.607127910799305,-2.5743985091572443,-2.639857312441366,-2.607127910799305,0.0,0.0,0.02510763012929918,0.06545880328412146,-0.9881914654119048,-0.9881914654119048,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
1,0.01,-133327.6183433943,-0.074276029266,5.139188915106,-5.188256328411,-0.417744249607,-0.421732744696,-0.419738497152,1971.035708427436,1970.208124896434,4900.0,50.510659868808,49.663712620111,16.801482227402,2414,1970.208124896434,1971.035708427436,1.0004200487859858,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,-0.4177442496070578,-0.4217327446964301,-0.41973849715174394,-0.4179197225719578,-0.42190989302385024,-0.419914807797904,2.187389413647561,2.187213103001401,0.0095023332775939,0.003988495089372268,-0.1847279679767494,-0.18465040579796219,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
2,0.0201,-133326.98521133867,0.228980900423,-15.85226104237,16.34123237405,1.288567321247,1.328313858182,1.308440589715,1971.035708427436,1966.471610120928,4900.0,50.468618219136,49.610817691372,16.969497049676,2414,1966.471610120928,1971.035708427436,1.0023209581480952,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,1.2885673212469295,1.328313858182284,1.3084405897146067,1.2915580320705466,1.3313968190546601,1.3114774255626034,3.9155685005139116,3.9186053363619084,0.030377028386152298,-0.03974653693535446,0.5705683246572282,0.569247125902086,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
3,0.030301,-133321.58300662736,-2.89398175757,-45.381414332381,45.719953862058,3.688874876863,3.716393410259,3.702634143561,1971.035708427436,1966.30202101661,4900.0,50.46769294427,49.607448725973,17.139192020173,2414,1966.30202101661,1971.035708427436,1.0024074060649029,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,3.6888748768630273,3.7163934102587444,3.7026341435608856,3.6977554966142545,3.7253402782941665,3.7115478874542105,6.30976205436019,6.3186757982535156,0.0074321502824073364,-0.027518533395717082,-7.211766280320175,-7.194446326599901,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
4,0.04060401,-133312.4170275528,0.840689117224,-65.277128672098,65.491259687431,5.306118452559,5.323524312082,5.31482138232,1971.035708427436,1962.900148087818,4900.0,50.43414266528,49.554566784228,17.310583940375,2414,1962.900148087818,1971.035708427436,1.004144663368406,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,5.306118452558674,5.323524312081555,5.3148213823201145,5.328110527337416,5.3455885282886575,5.336849527813037,7.92194929311942,7.943977438612341,0.003274966037576061,-0.01740585952288143,2.098617537122578,2.0899553756355784,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
5,0.0510100501,-133298.37658752038,1.132970264429,-92.775346013267,93.349078179862,7.541339293527,7.587975701989,7.564657497758,1971.035708427436,1962.546672256188,4900.0,50.43094408286,49.548785511518,17.483689779779,2414,1962.546672256188,1971.035708427436,1.0043255206570394,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,7.5413392935270185,7.58797570198929,7.564657497758154,7.573959512422912,7.620797647633358,7.597378580028135,10.17178540855746,10.20450649082744,0.006165038995631002,-0.04663640846227146,2.8287502020626643,2.8165670829633687,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
6,0.061520150601,-133280.98405812884,1.409188362408,-112.185995889182,112.564747426924,9.119153906056,9.14994111383,9.134547509943,1971.035708427436,1957.259676574912,4900.0,50.384189962465,49.461158775943,17.658526677576,2414,1957.259676574912,1971.035708427436,1.0070384282767382,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,9.119153906055656,9.149941113830112,9.134547509942884,9.183338416767965,9.214342318096183,9.198840367432073,11.741675420742189,11.805968278231378,0.003370414105454474,-0.03078720777445554,3.527903353060734,3.503246007302566,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
7,0.072135352107,-133259.0950199558,1.687607938564,-131.441710082683,132.195857068142,10.684374412499,10.745676024823,10.715025218661,1971.035708427436,1956.108099376758,4900.0,50.371642637196,49.444370989484,17.835111944352,2414,1956.108099376758,1971.035708427436,1.007631280221903,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,10.684374412499352,10.745676024823425,10.715025218661388,10.765909867636864,10.827679289742637,10.79679457868975,13.322153129460693,13.403922489489055,0.005721088945017987,-0.06130161232407261,4.227414068577448,4.195397812229962,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
8,0.082856705628,-133233.30927945735,1.970670648817,-153.184150165456,154.237984916842,12.451730987057,12.537393027254,12.494562007155,1971.035708427436,1954.616306958996,4900.0,50.356519076154,49.421501375835,18.013463063796,2414,1954.616306958996,1971.035708427436,1.008400319494922,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,12.451730987056623,12.537393027253973,12.494562007155299,12.556329505612718,12.642711134316313,12.599520319964515,15.101689917954603,15.20664823076382,0.006855945822534165,-0.08566204019735046,4.940246402746229,4.89909246084001,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
9,0.093685272684,-133203.46264526964,2.203045327013,-173.198596919555,173.718158978333,14.07862584901,14.120858984618,14.099742416814,1971.035708427436,1954.262127000945,4900.0,50.352882421127,49.41611485248,18.193597694434,2414,1954.262127000945,1971.035708427436,1.0085830765457406,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,14.07862584900957,14.120858984617904,14.099742416813736,14.199463772330462,14.24205939817449,14.220761585252475,16.706870327613043,16.82788949605178,0.002995312563864328,-0.04223313560833297,5.523784119446573,5.476776527288935,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
