cycle,strain,energy_eV,sigma_cell_zz_GPa,grip_force_top_z_eVA,grip_force_bottom_z_eVA,grip_stress_top_GPa,grip_stress_bottom_GPa,grip_stress_avg_GPa,wire_area_ref_ellipse_A2,wire_area_current_ellipse_A2,cell_area_xy_A2,wire_span_x_A,wire_span_y_A,grip_distance_A,n_atoms,area_current_used_A2,area_ref_used_A2,area_ratio_Aref_over_Acurrent,area_current_source,area_ref_source,grip_nominal_top_GPa,grip_nominal_bottom_GPa,grip_nominal_raw_GPa,grip_apparent_cauchy_top_GPa,grip_apparent_cauchy_bottom_GPa,grip_apparent_cauchy_raw_GPa,grip_nominal_primary_GPa,grip_apparent_cauchy_primary_GPa,grip_top_bottom_balance_rel,grip_top_bottom_balance_signed_GPa,diagnostic_cell_cauchy_wire_current_GPa,diagnostic_cell_nominal_wire_ref_GPa,stress_definition_note
0,0.0,-48827.386229658965,-0.014614880781,2.002374537583,-3.485181006319,-0.476867427679,-0.829999218571,-0.653433323125,672.756721048056,672.756721048056,2500.0,29.5781137242,28.959942111653,16.57847540054,884,672.756721048056,672.756721048056,1.0,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,-0.47686742767918483,-0.8299992185706688,-0.6534333231249269,-0.47686742767918483,-0.8299992185706688,-0.6534333231249269,0.0,0.0,0.5404251335127737,0.353131790891484,-0.05430967957567249,-0.05430967957567249,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
1,0.01,-48827.57701387453,0.248912133214,-4.506356105965,3.916756852423,1.073193053609,0.932779422632,1.002986238121,672.756721048056,672.009846835378,2500.0,29.565120053471,28.940505226928,16.744260154546,884,672.009846835378,672.756721048056,1.0011114036739122,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,1.073193053609154,0.9327794226320438,1.002986238120599,1.0743858043117522,0.9338161171093069,1.0041009607105296,1.6564195612455257,1.6575342838354565,0.13999557086667316,0.14041363097711024,0.9259988316621197,0.92497081569929,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
2,0.0201,-48825.98621725248,0.468016144953,-13.817594814963,13.762110764964,3.290673534072,3.277459954043,3.284066744058,672.756721048056,671.821047520612,2500.0,29.56187559407,28.935549842454,16.911702756091,884,671.821047520612,672.756721048056,1.001392742205528,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,3.290673534072305,3.2774599540433735,3.2840667440578395,3.2952565939878213,3.282024610848298,3.2886406024180594,3.9375000671827665,3.9420739255429864,0.0040235418640135745,0.013213580028931471,1.7415952755582613,1.7391730558406748,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
3,0.030301,-48823.1147731713,0.669336505264,-21.813775878234,22.098085595185,5.194971767659,5.262680401005,5.228826084332,672.756721048056,669.884537442701,2500.0,29.526428817719,28.886781017243,17.080819783652,884,669.884537442701,672.756721048056,1.004287580090025,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,5.194971767659385,5.262680401005407,5.228826084332396,5.217245625178642,5.285244564712923,5.251245094945783,5.8822594074573225,5.904678418070709,0.012949107936273477,-0.0677086333460224,2.497954751348668,2.4872902950017064,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
4,0.04060401,-48818.464656915436,0.896379299508,-31.681038500728,32.266413345392,7.54486987948,7.684277463408,7.614573671444,672.756721048056,669.541672069113,2500.0,29.520266093757,28.878023355853,17.251627981489,884,669.541672069113,672.756721048056,1.0048018653850288,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,7.544869879479855,7.684277463407672,7.614573671443764,7.5810993289886754,7.7211763293681654,7.6511378291784204,8.26800699456869,8.304571152303348,0.018307995948692972,-0.1394075839278166,3.3469884583056686,3.330993476035338,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
5,0.0510100501,-48812.69008644375,1.079060837087,-38.599931772169,40.34451144517,9.192610986257,9.608084318259,9.400347652258,672.756721048056,666.877165853236,2500.0,29.470924334336,28.811257136444,17.424144261304,884,666.877165853236,672.756721048056,1.0088165489776477,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,9.192610986256751,9.608084318258657,9.400347652257704,9.273658091249548,9.692794464231952,9.48322627774075,10.053780975382631,10.136659600865677,0.044197656019894144,-0.4154733320019055,4.045200871836704,4.009847851857883,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
6,0.061520150601,-48805.10956067949,1.299153812758,-46.8259341185,48.004612018349,11.151641380098,11.432344658936,11.291993019517,672.756721048056,666.565200749138,2500.0,29.465649771662,28.802934240885,17.598385703917,884,666.565200749138,672.756721048056,1.009288694177193,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,11.151641380097447,11.432344658936458,11.291993019516951,11.255225566450902,11.538536212201583,11.396880889326242,11.945426342641879,12.05031421245117,0.02485861250125173,-0.28070327883901136,4.872568397277227,4.82772513492734,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
7,0.072135352107,-48796.57886442554,1.468368393644,-50.846063718028,54.852933262822,12.109039122169,13.063278969415,12.586159045792,672.756721048056,662.455437723599,2500.0,29.387894769514,28.701084802084,17.774369560956,884,662.455437723599,672.756721048056,1.0155501528674222,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,12.109039122169166,13.063278969414917,12.58615904579204,12.29733653159649,13.2664149543391,12.781875742967795,13.239592368916968,13.435309066092723,0.07581660487317483,-0.9542398472457503,5.541385540926973,5.456535578553932,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
8,0.082856705628,-48786.29625779245,1.191255415334,-60.520631936889,63.275162883766,14.413046875885,15.069041077992,14.741043976939,672.756721048056,662.139330212842,2500.0,29.381761341642,28.693377825399,17.952113256565,884,662.139330212842,672.756721048056,1.0160349798762158,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,14.413046875885325,15.06904107799173,14.741043976938528,14.6441597924951,15.310672848431198,14.97741632046315,15.394477300063455,15.630849643588077,0.04450120379076742,-0.655994202106406,4.497752062813864,4.426768912387079,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
9,0.093685272684,-48775.110677362354,1.847066538725,-65.253551760752,71.184534399968,15.540196297462,16.952665534205,16.246430915834,672.756721048056,658.099306831379,2500.0,29.292776714718,28.604938001644,18.131634389131,884,658.099306831379,672.756721048056,1.0222723441044934,wire_area_current_ellipse_A2,wire_area_ref_ellipse_A2,15.540196297462415,16.952665534205092,16.246430915833756,15.88631289685087,17.330241134471294,16.60827701566108,16.89986423895868,17.261710338786006,0.08694027901020929,-1.4124692367426768,7.016671038669941,6.863798164095418,primary=preload-corrected nominal grip-reaction stress; apparent_cauchy=current-area correction used only as a sensitivity check; cell stress is diagnostic because vacuum dilutes the simulation-cell tensor
