cycle,stage,L_grip_A,strain_percent,energy_eV,max_nn_A,nn0_A,gap_mid_A,fracture_thr_A,broken
0,relax,4.125,0,-16469.3017202799,2.89088687170082,2.86378246380552,8.59134739141655,0
1,stretch,4.125,1,-16469.2242173348,2.9056700918513,2.86378246380552,8.59134739141655,0
1,relax,4.125,1,-16469.3074841089,2.89500991612327,2.86378246380552,8.59134739141655,0
2,stretch,4.125,2.01,-16469.2386071316,2.90591900354052,2.86378246380552,8.59134739141655,0
2,relax,4.125,2.01,-16469.3041506035,2.89868388037501,2.86378246380552,8.59134739141655,0
3,stretch,4.125,3.03009999999999,-16469.2100307159,2.90923324145054,2.86378246380552,8.59134739141655,0
3,relax,4.125,3.03009999999999,-16469.3009390258,2.8993429409994,2.86378246380552,8.59134739141655,0
4,stretch,4.125,4.060401,-16469.1999568548,2.91095494553337,2.86378246380552,8.59134739141655,0
4,relax,4.125,4.060401,-16469.304298578,2.89780135687544,2.86378246380552,8.59134739141655,0
5,stretch,4.125,5.10100500999999,-16469.2256023262,2.90919642893142,2.86378246380552,8.59134739141655,0
5,relax,4.125,5.10100500999999,-16469.3007957981,2.90032027321195,2.86378246380552,8.59134739141655,0
6,stretch,4.125,6.15201506009999,-16469.195514324,2.91171137869384,2.86378246380552,8.59134739141655,0
6,relax,4.125,6.15201506009999,-16469.3003295125,2.89769828087181,2.86378246380552,8.59134739141655,0
7,stretch,4.125,7.21353521070098,-16469.2539431492,2.90614216191938,2.86378246380552,8.59134739141655,0
7,relax,4.125,7.21353521070098,-16469.2991089794,2.90177541385003,2.86378246380552,8.59134739141655,0
8,stretch,4.125,8.285670562808,-16469.1923539488,2.91212028184614,2.86378246380552,8.59134739141655,0
8,relax,4.125,8.285670562808,-16469.3100665184,2.89921001265299,2.86378246380552,8.59134739141655,0
9,stretch,4.125,9.36852726843609,-16469.2328762214,2.90870854896013,2.86378246380552,8.59134739141655,0
9,relax,4.125,9.36852726843609,-16469.3107828796,2.90027639694022,2.86378246380552,8.59134739141655,0
10,stretch,4.125,10.4622125411205,-16469.2276323539,2.90790105017349,2.86378246380552,8.59134739141655,0
10,relax,4.125,10.4622125411205,-16469.2991182438,2.90215972034889,2.86378246380552,8.59134739141655,0
11,stretch,4.125,11.5668346665317,-16469.1885670741,2.91238439282652,2.86378246380552,8.59134739141655,0
11,relax,4.125,11.5668346665317,-16469.3101009342,2.90021185838264,2.86378246380552,8.59134739141655,0
12,stretch,4.125,12.682503013197,-16469.2338228394,2.90863779621639,2.86378246380552,8.59134739141655,0
12,relax,4.125,12.682503013197,-16469.3068999222,2.89908166452295,2.86378246380552,8.59134739141655,0
13,stretch,4.125,13.809328043329,-16469.2445060453,2.90610508498052,2.86378246380552,8.59134739141655,0
13,relax,4.125,13.809328043329,-16469.2997996518,2.90214604266502,2.86378246380552,8.59134739141655,0
14,stretch,4.125,14.9474213237622,-16469.1928655372,2.91179149701234,2.86378246380552,8.59134739141655,0
14,relax,4.125,14.9474213237622,-16469.3089125063,2.90137240785508,2.86378246380552,8.59134739141655,0
15,stretch,4.125,16.0968955369999,-16469.2343838371,2.90844024992461,2.86378246380552,8.59134739141655,0
15,relax,4.125,16.0968955369999,-16469.3074537374,2.90133117867284,2.86378246380552,8.59134739141655,0
16,stretch,4.125,17.2578644923699,-16469.2164695641,2.90936355490323,2.86378246380552,8.59134739141655,0
16,relax,4.125,17.2578644923699,-16469.3083310882,2.90087082453287,2.86378246380552,8.59134739141655,0
17,stretch,4.125,18.4304431372936,-16469.2351660458,2.90800364275861,2.86378246380552,8.59134739141655,0
17,relax,4.125,18.4304431372936,-16469.3120240211,2.8984491543964,2.86378246380552,8.59134739141655,0
18,stretch,4.125,19.6147475686665,-16469.2396601784,2.90583581778557,2.86378246380552,8.59134739141655,0
18,relax,4.125,19.6147475686665,-16469.3011079546,2.90115832604954,2.86378246380552,8.59134739141655,0
19,stretch,4.125,20.8108950443532,-16469.2048714563,2.91042439353325,2.86378246380552,8.59134739141655,0
19,relax,4.125,20.8108950443532,-16469.3108565485,2.89839341688669,2.86378246380552,8.59134739141655,0
20,stretch,4.125,22.0190039947967,-16469.2422312493,2.90598504528701,2.86378246380552,8.59134739141655,0
20,relax,4.125,22.0190039947967,-16469.298060008,2.90191519921379,2.86378246380552,8.59134739141655,0
21,stretch,4.125,23.2391940347447,-16469.1882626237,2.91190821228327,2.86378246380552,8.59134739141655,0
21,relax,4.125,23.2391940347447,-16469.3090539304,2.90159833684746,2.86378246380552,8.59134739141655,0
22,stretch,4.125,24.4715859750921,-16469.2320826366,2.90867575018603,2.86378246380552,8.59134739141655,0
22,relax,4.125,24.4715859750921,-16469.3072684071,2.90155903615961,2.86378246380552,8.59134739141655,0
23,stretch,4.125,25.7163018348431,-16469.2154568542,2.909483438776,2.86378246380552,8.59134739141655,0
23,relax,4.125,25.7163018348431,-16469.3084615931,2.90084314246542,2.86378246380552,8.59134739141655,0
24,stretch,4.125,26.9734648531915,-16469.2348208684,2.90796634537888,2.86378246380552,8.59134739141655,0
24,relax,4.125,26.9734648531915,-16469.3065211946,2.90092456381681,2.86378246380552,8.59134739141655,0
25,stretch,4.125,28.2431995017234,-16469.2272575806,2.90794816993816,2.86378246380552,8.59134739141655,0
25,relax,4.125,28.2431995017234,-16469.3007161647,2.90182200218293,2.86378246380552,8.59134739141655,0
26,stretch,4.125,29.5256314967406,-16469.1921765936,2.91157788131301,2.86378246380552,8.59134739141655,0
26,relax,4.125,29.5256314967406,-16469.3004706018,2.8991201572026,2.86378246380552,8.59134739141655,0
