cycle,strain,energy_eV,sigma_cell_zz_GPa,wire_stress_current_GPa,wire_stress_ref_GPa,wire_area_ref_ellipse_A2,wire_area_current_ellipse_A2,wire_area_current_bbox_A2,cell_area_xy_A2,wire_span_x_A,wire_span_y_A,n_atoms
0,0.000000000000,-1636.559720748673,-0.021355515632,-0.335421573389,-0.335421573389,57.300917989145,57.300917989145,72.957794733406,900.000000000000,8.689710362631,8.395883371113,30
1,0.010000000000,-1636.541641246633,0.118685147932,1.865145302080,1.864134762365,57.300917989145,57.269872229185,72.918266044129,900.000000000000,8.686624063457,8.394315848303,30
2,0.020100000000,-1636.502415679225,0.192728851138,3.067320726117,3.027106233396,57.300917989145,56.549667123934,72.001272423803,900.000000000000,8.633086004470,8.340154654607,30
3,0.030301000000,-1636.400550449677,0.327186411364,5.212423865810,5.138971251437,57.300917989145,56.493442937110,71.929685565768,900.000000000000,8.629820864543,8.335014908746,30
4,0.040604010000,-1636.280480324002,0.397290663677,6.424648502027,6.240067521727,57.300917989145,55.654655222984,70.861707878505,900.000000000000,8.574752689355,8.263994361782,30
5,0.051010050100,-1636.095527079429,0.527719991392,8.539800294121,8.288662885697,57.300917989145,55.615819561962,70.812260779146,900.000000000000,8.572602545565,8.260299063530,30
6,0.061520150601,-1635.861493740656,0.650729045304,10.545795246851,10.220711313632,57.300917989145,55.534563972123,70.708802948932,900.000000000000,8.567899947519,8.252757779858,30
7,0.072135352107,-1635.617956138077,0.717664451185,11.817682806220,11.272035924253,57.300917989145,54.655215972321,69.589182302000,900.000000000000,8.517238605948,8.170392485354,30
8,0.082856705628,-1635.300476702865,0.835898839829,13.781648166006,13.129090811230,57.300917989145,54.587734847417,69.503262665249,900.000000000000,8.513677569883,8.163717981418,30
9,0.093685272684,-1634.955826750709,0.912340145037,15.237631951142,14.329720349144,57.300917989145,53.886728145584,68.610713211351,900.000000000000,8.472954190025,8.097614087437,30
10,0.104622125411,-1634.551581287717,1.028313409878,17.184950684683,16.151260771513,57.300917989145,53.854217324850,68.569319148760,900.000000000000,8.471662313118,8.093962744784,30
11,0.115668346665,-1634.104570597716,1.127799119236,18.911897845166,17.713838502635,57.300917989145,53.670933272934,68.335954645941,900.000000000000,8.462625730618,8.075029762772,30
12,0.126825030132,-1633.635169847541,1.189811685306,20.270939639154,18.687842260712,57.300917989145,52.825894400417,67.260017736614,900.000000000000,8.414665451877,7.993189761527,30
13,0.138093280433,-1633.103118945657,1.289464904561,21.991742765691,20.253050995177,57.300917989145,52.770643348700,67.189669912680,900.000000000000,8.413159064333,7.986259311027,30
14,0.149474213238,-1632.592192271576,1.275846288158,22.498752527871,20.039149452359,57.300917989145,51.036681163518,64.981920689431,900.000000000000,8.354796994435,7.777797681106,30
15,0.160968955370,-1632.013401088099,1.367133584444,24.120808659501,21.472958360510,57.300917989145,51.010736968608,64.948887514516,900.000000000000,8.351489438059,7.776922667055,30
16,0.172578644924,-1631.739333255696,0.975951242380,18.802922358353,15.328831526030,57.300917989145,46.713808704967,59.477868528358,900.000000000000,8.238583169006,7.219429276640,30
17,0.184304431373,-1631.284824750216,1.061981890617,20.482587660074,16.680076604293,57.300917989145,46.663230125865,59.413469881328,900.000000000000,8.238668166296,7.211538161518,30
18,0.196147475687,-1630.906817352208,0.923442744244,18.794385532657,14.504103930362,57.300917989145,44.220571530557,56.303380363495,900.000000000000,8.197538063118,6.868328018727,30
19,0.208108950444,-1630.465817383483,1.008781092208,20.542287540418,15.844475356552,57.300917989145,44.196780967089,56.273089277296,900.000000000000,8.196701417130,6.865333554751,30
20,0.220190039948,-1630.854681642315,0.630087760284,14.044661398771,9.896507842387,57.300917989145,40.376835592860,51.409383768100,900.000000000000,8.274882003182,6.212702942269,30
