a0_A,energy_eV,energy_per_atom_eV,volume_A3,sigma_xx_GPa,sigma_yy_GPa,sigma_zz_GPa,hydrostatic_stress_GPa
4.08,-226.88099343070672,-56.72024835767668,67.91731199999998,-3.0913629411907366,-3.0913629411905834,-3.0913590087126432,-3.0913616303646543
4.085,-226.88558927061294,-56.721397317653235,68.16731412499999,-2.6622352684732977,-2.662235268473068,-2.6622312727246653,-2.6622339365570107
4.09,-226.88953154128683,-56.72238288532171,68.417929,-2.2394174119460275,-2.2394174119456705,-2.239413350703772,-2.23941605819849
4.095,-226.89282666237645,-56.72320666559411,68.66915737500003,-1.822826654939336,-1.8228266549389787,-1.8228225255700592,-1.8228252784827912
4.1,-226.89547739703548,-56.72386934925887,68.92099999999999,-1.4157957633622456,-1.4157957633622456,-1.4157910973559273,-1.4157942080268062
4.105,-226.89749732633544,-56.72437433158386,69.17345762500005,-1.011517227972811,-1.011517227972709,-1.0115125263305988,-1.0115156607587064
4.11,-226.898889006233,-56.72472225155825,69.42653100000001,-0.6132201763364772,-0.6132201763360688,-0.6132154336743924,-0.6132185954489794
4.115,-226.89965855932962,-56.724914639832406,69.680220875,-0.22120208801425356,-0.22120208801410043,-0.22119725109166335,-0.22120047570667245
4.12,-226.8998344971196,-56.7249586242799,69.93452800000003,0.15967516025164055,0.15967516025194678,0.15967733827174252,0.15967588625844328
4.125,-226.89938397182593,-56.72484599295648,70.18945312499997,0.5426316042521493,0.5426316042522259,0.5426333123643701,0.542632173622915
4.13,-226.898324479885,-56.72458111997125,70.44499699999999,0.916034547290131,0.9160345472900544,0.9160362096977885,0.9160351014259914
4.135,-226.89663220159306,-56.724158050398266,70.70116037499999,1.3378226366984955,1.337822636698853,1.3378242884750018,1.3378231872907833
4.14,-226.89437557435014,-56.723593893587534,70.95794399999993,1.6489953386794887,1.6489953386792846,1.648997009145353,1.6489958955013755
