cycle,stage,L_grip_A,strain_percent,energy_eV,max_nn_A,nn0_A,fracture_thr_A,broken
0,relax,8.099999999999994,0.0,-16469.06714321869,2.891885880809634,2.8637824638055194,8.591347391416559,0
1,stretch,8.099999999999994,0.0,-16468.680219824608,2.9002320305682963,2.8637824638055194,8.591347391416559,0
1,relax,8.099999999999994,0.0,-16469.04292369493,2.8830679738163827,2.8637824638055194,8.591347391416559,0
2,stretch,8.099999999999994,0.0,-16468.5022991573,2.8941470226674686,2.8637824638055194,8.591347391416559,0
2,relax,8.099999999999994,0.0,-16469.07119727185,2.883723844208465,2.8637824638055194,8.591347391416559,0
3,stretch,8.099999999999994,0.0,-16468.674130533258,2.8902374749013875,2.8637824638055194,8.591347391416559,0
