      Step     Time          Energy          fmax
BFGS:    0 16:17:22   -16437.946273        0.894146
BFGS:    1 16:17:26   -16438.765616        0.867297
      Step     Time          Energy          fmax
BFGS:    0 16:23:37   -16467.849763        0.835130
BFGS:    1 16:23:42   -16468.452759        0.703403
BFGS:    2 16:23:49   -16470.339101        0.341451
BFGS:    3 16:23:54   -16470.661756        0.422760
BFGS:    4 16:24:00   -16471.026066        0.439876
BFGS:    5 16:24:07   -16471.442639        0.422162
BFGS:    6 16:24:14   -16471.740599        0.337826
BFGS:    7 16:24:19   -16471.886014        0.329092
BFGS:    8 16:24:24   -16471.991049        0.295576
BFGS:    9 16:24:29   -16472.142783        0.215052
BFGS:   10 16:24:34   -16472.264565        0.236325
BFGS:   11 16:24:40   -16472.359899        0.185730
BFGS:   12 16:24:46   -16472.432913        0.186612
BFGS:   13 16:24:50   -16472.465224        0.142817
BFGS:   14 16:24:55   -16472.497906        0.212906
BFGS:   15 16:25:00   -16472.539817        0.125641
BFGS:   16 16:25:06   -16472.560552        0.100972
BFGS:   17 16:25:10   -16472.570879        0.090462
