      Step     Time          Energy          fmax
BFGS:    0 16:26:00   -16472.013652        0.321194
BFGS:    1 16:26:04   -16472.062286        0.247246
BFGS:    2 16:26:10   -16472.213127        0.157743
BFGS:    3 16:26:14   -16472.237996        0.166080
BFGS:    4 16:26:18   -16472.265235        0.148783
BFGS:    5 16:26:23   -16472.310925        0.125973
BFGS:    6 16:26:28   -16472.334467        0.131840
BFGS:    7 16:26:32   -16472.359021        0.098804
